CODE            ,"Item Description"
103251          ,"METZENBAUM-LAHEY SCISSOR,5-3/4,CARB-EDGE,CVD"
103258          ,"METZENBAUM SCISSORS, 7, CARB-EDGE, CURVED"
103261          ,"METZENBAUM SCISSORS, 7, CARB-EDGE,CURVED,DEL"
105088          ,"JACOBSON MOSQUITO FCPS, 4-7/8,PETIT-POINT,STRAIGHT"
105089          ,"JACOBSON MOSQUITO FORCEPS 4-3/4 PETIT-POINT CURVED"
105090          ,"MOSQUITO FORCEPS 4, PETIT-POINT, STRAIGHT"
105091          ,"MOSQUITO FORCEPS 4, PETIT-POINT, CURVED"
105095          ,"MOSQUITO FORCEPS 4-3/4, PETIT-POINT STRAIGHT"
105096          ,"MOSQUITO FORCEPS 4-3/4, PETIT-POINT CURVED"
105098          ,"MOSQUITO FORCEPS 6, PETIT-POINT STRAIGHT"
105099          ,"MOSQUITO FORCEPS 6, PETIT-POINT CURVED"
105100          ,"HALSTED MOSQUITO FORCEPS 5, STRAIGHT,MIRROR FINISH"
105102          ,"HALSTED MOSQUITO FORCEPS 5, CURVED, MIRROR FINISH"
105105          ,"HALSTED MOSQUITO FORCEPS 4-3/4, ANGLED"
105110          ,"HALSTED MOSQUITO FORCEPS 4-7/8 STRAIGHT 1X2TEETH"
105112          ,"HALSTED MOSQUITO FORCEPS 4-7/8 CURVED 1X2TEETH"
105114          ,"HARTMANN MOSQUITO FORCEPS 4, STRAIGHT, MIRROR"
105115          ,"HARTMANN MOSQUITO FORCEPS 4, CURVED, MIRROR"
105118          ,"CRILE FORCEPS 5-3/4, PETIT-POINT STRAIGHT"
105119          ,"CRILE FORCEPS 5-3/4, PETIT-POINT CURVED"
105120          ,"CRILE FORCEPS 5-3/4 STRAIGHT"
105121          ,"CRILE FORCEPS 5-3/4 CURVED"
105130          ,"KELLY FORCEPS 5-3/4 STRAIGHT"
105131          ,"KELLY FORCEPS 5-3/4 CURVED"
105140          ,"CRILE FORCEPS 6-1/4 STRAIGHT"
105141          ,"CRILE FORCEPS 6-1/4 CURVED"
105142          ,"COLLER-CRILE FORCEPS 5-3/4 STR, FINE TAPERED TIPS"
105143          ,"COLLER-CRILE FORCEPS 6-1/4 STR, FINE TAPERED TIPS"
105144          ,"COLLER-CRILE FORCEPS 5-5/8 CVD, FINE TAPERED TIPS"
105145          ,"COLLER-CRILE FORCEPS 6-1/4 CVD, FINE TAPERED TIPS"
105150          ,"RANKIN FORCEPS 6-1/4 STRAIGHT"
105151          ,"RANKIN FORCEPS 6-1/4 CURVED"
105160          ,"PROVIDENCE HOSPITAL FORCEPS 5-5/8 STRAIGHT"
105161          ,"PROVIDENCE HOSPITAL FORCEPS 5-5/8 CURVED"
105163          ,"PEAN FORCEPS 5-1/2, PETIT-POINT STRAIGHT"
105164          ,"PEAN FORCEPS 5-1/2, PETIT-POINT, CURVED"
105168          ,"ROCHESTER-PEAN FORCEPS 5-1/2 STRAIGHT"
105169          ,"ROCHESTER-PEAN FORCEPS 5-1/2 CURVED"
105170          ,"ROCHESTER-PEAN FORCEPS 6-1/2 STRAIGHT"
105171          ,"ROCHESTER-PEAN FORCEPS 6-1/2 CURVED"
105180          ,"ROCHESTER-PEAN FORCEPS 7-1/4 STRAIGHT"
105181          ,"ROCHESTER-PEAN FORCEPS 7-1/4 CURVED"
105190          ,"ROCHESTER-PEAN FORCEPS 8 STRAIGHT"
105191          ,"ROCHESTER-PEAN FORCEPS 8 CURVED"
105195          ,"ROCHESTER-PEAN FORCEPS 8-3/4, STRAIGHT, MIRROR"
105196          ,"ROCHESTER-PEAN FORCEPS 8-3/4, CURVED, MIRROR"
105197          ,"ROCHESTER-PEAN FORCEPS 10 STRAIGHT"
105198          ,"ROCHESTER-PEAN FORCEPS 11 STRAIGHT"
105199          ,"ROCHESTER-PEAN FORCEPS 12 STRAIGHT"
105200          ,"ROCHESTER-OCHSNER FORCEPS 6-1/4,STR,1X2 TEETH"
105202          ,"ROCHESTER-OCHSNER FORCEPS 6-1/4,CVD,1X2 TEETH"
105210          ,"ROCHESTER-OCHSNER FORCEPS 7-1/4,STR,1X2 TEETH"
105212          ,"ROCHESTER-OCHSNER FORCEPS 7-1/4,CVD,1X2 TEETH"
105220          ,"ROCHESTER-OCHSNER FORCEPS 7-3/4,STR,1X2 TEETH"
105222          ,"ROCHESTER-OCHSNER FORCEPS 7-3/4,CVD,1X2 TEETH"
105223          ,"ROCHESTER-OCHSNER FORCEPS 8-3/4 STR, 1X2 TEETH"
105224          ,"ROCHESTER-OCHSNER FORCEPS 8-3/4 CURVED, 1X2 TEETH"
105225          ,"ROCHESTER-OCHSNER FORCEPS 10-1/2 STR, 1X2 TEETH"
105226          ,"ROCHESTER-OCHSNER FORCEPS 10-1/4 CURVED, 1X2 TEETH"
105227          ,"ROCHESTER-OCHSNER FORCEPS 11 STRAIGHT, 1X2 TEETH"
105228          ,"ROCHESTER-OCHSNER FORCEPS 14 STRAIGHT, 1X2 TEETH"
105229          ,"ROCHESTER-OCHSNER FORCEPS 12 STRAIGHT, 1X2 TEETH"
105230          ,"KOCHER FORCEPS 5-1/2 STRAIGHT, 1X2 TEETH"
105232          ,"KOCHER FORCEPS 5-1/2 CURVED, 1X2 TEETH"
105233          ,"OCHSNER FORCEPS 5-1/2, PETIT-POINT, STR, 1x2 TEETH"
105234          ,"OCHSNER FORCEPS 5-1/2,PETIT-POINT,CURVED,1x2 TEETH"
105240          ,"ROCHESTER-CARMALT FORCEPS 6-1/2 STRAIGHT"
105242          ,"ROCHESTER-CARMALT FORCEPS 6-1/2 CURVED"
105243          ,"ROCHESTER-CARMALT FORCEPS 8 STRAIGHT"
105245          ,"ROCHESTER-CARMALT FORCEPS 8 CURVED"
105250          ,"JONES FORCEPS 5-1/8, STRAIGHT"
105251          ,"JONES FORCEPS 5-1/8, CURVED"
105255          ,"PRATT-SMITH T-CLAMP 5-7/8, STRAIGHT"
105260          ,"Dieffenbach Serrefine Forceps, 1-1/2, Straight"
105261          ,"Dieffenbach Serrefine Forceps, 1-1/2, Curved"
105262          ,"Dieffenbach Serrefine Forceps, 2-3/8, Straight"
105263          ,"Dieffenbach Serrefine Forceps, 2-3/8, Curved"
105270          ,"Ferguson Angiotribe Forceps, 6-1/2, Straight"
105271          ,"Ferguson Angiotribe Forceps, 6-1/4, Curved"
105300          ,"BAINBRIDGE FORCEPS 5-7/8 STRAIGHT"
105302          ,"BAINBRIDGE FORCEPS 5-7/8 CURVED"
105304          ,"BAINBRIDGE FORCEPS 7-1/4 STRAIGHT"
105306          ,"BAINBRIDGE FORCEPS 7-1/4 CURVED"
105320          ,"PENNINGTON FORCEPS 6-1/4, TRIANGULAR JAW"
105330          ,"COLLER FORCEPS 9-1/4 CURVED"
105331          ,"COLLER FORCEPS 9-1/4 STRONG CURVE"
105332          ,"COLLER FORCEPS 8-3/4 90D RIGHT ANGLED"
105340          ,"STOREY FCPS 8-3/4 SLIGHTLY CURVED,CROSS SERRATED"
105341          ,"STOREY FORCEPS 8-3/4 FULL CURVED, CROSS SERRATED"
105342          ,"STOREY FORCEPS 8-1/2  RIGHT ANGLED, CROSS SERR"
106100          ,"HALSTED MOSQUITO FORCEPS 5, STRAIGHT, SATIN FINISH"
106102          ,"HALSTED MOSQUITO FORCEPS 5, CURVED, SATIN FINISH"
106120          ,"CRILE FORCEPS 5-3/4 STRAIGHT"
106121          ,"CRILE FORCEPS 5-3/4 CURVED"
106130          ,"KELLY FORCEPS 5-3/4 STRAIGHT"
106131          ,"KELLY FORCEPS 5-3/4 CURVED"
106140          ,"CRILE FORCEPS 6-1/4 STRAIGHT"
106141          ,"CRILE FORCEPS 6-1/4 CURVED"
106150          ,"RANKIN FORCEPS 6-1/4 STRAIGHT"
106151          ,"RANKIN FORCEPS 6-1/4 CURVED"
106168          ,"ROCHESTER-PEAN FORCEPS 5-1/2 STRAIGHT SATIN"
106169          ,"ROCHESTER-PEAN FORCEPS 5-1/2 CURVED SATIN"
106170          ,"ROCHESTER-PEAN FORCEPS 6-1/2 STRAIGHT SATIN"
106171          ,"ROCHESTER-PEAN FORCEPS 6-1/2 CURVED SATIN"
106180          ,"ROCHESTER-PEAN FORCEPS 7-1/4 STRAIGHT SATIN"
106181          ,"ROCHESTER-PEAN FORCEPS 7-1/4 CURVED SATIN"
106190          ,"ROCHESTER-PEAN FORCEPS 8 STRAIGHT SATIN"
106191          ,"ROCHESTER-PEAN FORCEPS 8 CURVED SATIN"
106195          ,"ROCHESTER-PEAN FORCEPS 8-3/4, STRAIGHT, SATIN"
106196          ,"ROCHESTER-PEAN FORCEPS 8-3/4, CURVED, SATIN"
106200          ,"ROCHESTER-OCHSNER FORCEPS 6-1/4, STR,1X2 TEETH"
106202          ,"ROCHESTER-OCHSNER FORCEPS 6-1/4, CVD,1X2 TEETH"
106210          ,"ROCHESTER-OCHSNER FORCEPS 7-1/4, STR,1X2 TEETH"
106212          ,"ROCHESTER-OCHSNER FORCEPS 7-1/4, CVD,1X2 TEETH"
106220          ,"ROCHESTER-OCHSNER FORCEPS 7-3/4, STR,1X2 TEETH"
106222          ,"ROCHESTER-OCHSNER FORCEPS 7-3/4, CVD,1X2 TEETH"
106230          ,"KOCHER FORCEPS 5-1/2 STRAIGHT, 1X2 TEETH"
106232          ,"KOCHER FORCEPS 5-1/2 CURVED, 1X2 TEETH"
107100          ,"HALSTED MOSQUITO FORCEPS 5, STRAIGHT, MATTE FINISH"
107102          ,"HALSTED MOSQUITO FORCEPS 5, CURVED, MATTE FINISH"
107114          ,"HARTMAN MOSQUITO FORCEPS 4, STRAIGHT, MATTE FINISH"
107115          ,"HARTMAN MOSQUITO FORCEPS 4, CURVED, MATTE FINISH"
107120          ,"CRILE FORCEPS 5-1/2, STRAIGHT, MATTE FINISH"
107121          ,"CRILE FORCEPS 5-1/2, CURVED, MATTE FINISH"
107130          ,"KELLY FORCEPS 5-1/2, STRAIGHT, MATTE FINISH"
107131          ,"KELLY FORCEPS 5-1/2, CURVED, MATTE FINISH"
107140          ,"CRILE FORCEPS 6-1/4, STRAIGHT, MATTE FINISH"
107141          ,"CRILE FORCEPS 6-1/4, CURVED, MATTE FINISH"
107170          ,"ROCHESTER-PEAN FORCEPS 6-1/2,STRAIGHT,MATTE FINISH"
107171          ,"ROCHESTER-PEAN FORCEPS 6-1/2,CURVED,MATTE FINISH"
107180          ,"ROCHESTER-PEAN FORCEPS 7-1/4,STRAIGHT,MATTE FINISH"
107181          ,"ROCHESTER-PEAN FORCEPS 7-1/4,CURVED,MATTE FINISH"
107190          ,"ROCHESTER-PEAN FORCEPS 8, STRAIGHT, MATTE FINISH"
107191          ,"ROCHESTER-PEAN FORCEPS 8, CURVED, MATTE FINISH"
107200          ,"ROCHESTER-OCHSNER FORCEPS 6-1/4,STRAIGHT,1X2 TEETH"
107210          ,"ROCHESTER-OCHSNER FORCEPS 7-1/4,STRAIGHT,1X2 TEETH"
107220          ,"ROCHESTER-OCHSNER FORCEPS 7-3/4,STRAIGHT,1X2 TEETH"
109100          ,"BACKHAUS TOWEL FORCEPS 3-1/2, MATTE FINISH"
109102          ,"BACKHAUS TOWEL FORCEPS 5-1/4, MATTE FINISH"
109119          ,"EDNA TOWEL FORCEPS 3-7/8, MATTE FINISH"
109120          ,"EDNA TOWEL FORCEPS 5-1/4, MATTE FINISH"
110100          ,"BACKHAUS TOWEL FORCEPS 3-1/2"
110102          ,"BACKHAUS TOWEL FORCEPS 5-1/4"
110105          ,"ROEDER TOWEL FORCEPS 5-1/4"
110110          ,"JONES TOWEL CLAMP 3-3/8, STANDARD SIZE"
110111          ,"JONES TOWEL CLAMP 2-1/4, LIGHTWEIGHT"
110117          ,"TOWEL FORCEPS 4, WITH NON-PERFORATING JAWS"
110118          ,"TOWEL FORCEPS, 5-1/4, NON PERFORATING"
110119          ,"EDNA TOWEL FORCEPS 3-7/8, MIRROR FINISH"
110120          ,"EDNA TOWEL FORCEPS 5-1/4, MIRROR FINISH"
110121          ,"PEERS TOWEL FORCEPS 5-5/8"
110150          ,"PRESBYTERIAN  HOSPITAL TUBE OCCLUDING FCPS  6-1/2"
110154          ,"TUBE OCCLUDING FORCEPS 5-3/4 DELICATE JAWS"
110155          ,"VORSE TUBE OCCLUDING FORCEPS 6"
110157          ,"VORSE TUBE OCCLUDING FORCEPS 7-1/2"
110159          ,"VORSE TUBE OCCLUDING FORCEPS 8"
110160          ,"TUBE OCCLUDING FORCEPS 6 WITH U-SHAPED GUARD"
110161          ,"TUBE OCCLUDING FORCEPS 7-1/2 WITH U-SHAPED GUARD"
110162          ,"TUBE OCCLUDING FORCEPS 8 WITH U-SHAPED GUARD"
110165          ,"Knife Handle,#3, 4-7/8,Holds Blades 10, 11, 12,15"
110167          ,"Knife Handle, # 4, 5-1/4, Holds Blades 20-25"
110169          ,"Knife Handle,# 7,6-1/2,Holds Blades 10, 11, 12, 15"
110170          ,"Knife Handle, # 3L, 8-1/4, For Deep Surgery"
110171          ,"Knife Handle, Angled, # 3LA, 8, For Deep Surgery"
110173          ,"Knife Handle, # 4L, 8-1/4, For Deep Surgery"
110174          ,"Knife Handle,# 9, 4-3/4 Holds Blades 10, 11, 12,15"
110175          ,"KNIFE HANDLE NO 3, 5, HOLDS BLADES 10,11,12,15"
110176          ,"KNIFE HANDLE NO 4, 5-3/8, HOLDS BLADES 20-25"
110177          ,"KNIFE HANDLE NO 7, 6-1/2, HOLDS BLADES 10,11,12,15"
110178          ,"KNIFE HANDLE NO 3L, 8-1/4,HOLDS BLADES 10,11,12,15"
110180          ,"Barron Knife Handle, 5-3/4, Octagonal Handle"
110182          ,"Corwin Knife Handle, 6, Round Knurled Handle"
110190          ,"Knife Handle, 3-5/8, # 3KS, Round Knurled Handle"
110191          ,"Knife Handle, 5-3/4, # 3KL, Round Knurled Handle"
110194          ,"Knife Handle, 4, # 3KS, Hexagonal Handle"
110195          ,"Knife Handle, 6, #3KL, Hexagonal Handle"
110198          ,"Collet Replacement , 21.5mm, Fits # 3K/H"
111100          ,"BACKHAUS TOWEL FORCEPS 3-1/2, SATIN FINISH"
111102          ,"BACKHAUS TOWEL FORCEPS 5-1/4, SATIN FINISH"
114102          ,"FOERSTER SPONGE HOLDING FORCEPS 7, STR, SERR,MATTE"
114107          ,"FOERSTER SPONGE HOLDING FORCEPS 9-3/4 STR,SERRATED"
114124          ,"FOERSTER SPONGE FORCEPS 14 STRAIGHT SERRATED"
115100          ,"FOERSTER SPONGE HOLDING FORCEPS 7 STR, SMOOTH JAWS"
115102          ,"FOERSTER SPONGE HOLDING FORCEPS 7, STR, SERR JAWS"
115105          ,"FOERSTER SPONGE HOLDING FCPS 9-3/4 STR SMOOTH JAWS"
115107          ,"FOERSTER SPONGE HOLDING FCPS 9-3/4 STR, SERR JAWS"
115110          ,"FOERSTER SPONGE FORCEPS 7 CURVED SMOOTH MIRROR"
115112          ,"FOERSTER SPONGE FORCEPS 7 CURVED SERRATED MIRROR"
115115          ,"FOERSTER SPONGE HOLDING FCPS 9-1/2,CVD,SMOOTH JAWS"
115117          ,"FOERSTER SPONGE HOLDING FCPS 9-1/2, CVD, SERR JAWS"
115119          ,"FLETCHER FORCEPS 9-3/4, STRAIGHT"
115120          ,"FLETCHER FORCEPS 9-1/2, CURVED"
116100          ,"FOERSTER SPONGE FORCEPS 7 STRAIGHT SMOOTH SATIN"
116102          ,"FOERSTER SPONGE FORCEPS 7 STRAIGHT SERRATED JAWS"
116105          ,"FOERSTER SPONGE HOLDING FCPS 9-3/4 STR SMOOTH JAWS"
116107          ,"FOERSTER SPONGE HOLDING FCPS 9-3/4 STR, SERR JAWS"
116110          ,"FOERSTER SPONGE FORCEPS 7 CURVED SMOOTH SATIN"
116112          ,"FOERSTER SPONGE FORCEPS 7 CURVED SERRATED SATIN"
116115          ,"FOERSTER SPONGE HOLDING FCPS 9-1/2,CVD,SMOOTH JAWS"
116117          ,"FOERSTER SPONGE HOLDING FCPS 9-3/4, CVD,SERR JAWS"
117100          ,"Instrument Tray 15-1/2 X 5 X 3-1/2"
117102          ,"Instrument Tray 24 X 6 X 3-1/2"
117106          ,"Instrument Tray 25-1/4 X 8 X 3-1/2"
117108          ,"Instrument Tray 10 X 6-1/2 X 2-1/2"
117110          ,"Instrument Tray 10-1/2 X 10 X 3-1/2"
117112          ,"Instrument Tray 15 X 10-1/2 X 3-1/2"
117114          ,"Instrument Tray 20 X 10-1/2 X 3-1/2"
117116          ,"Instrument Tray w/Inside Handles 20-1/4X13X3-1/2"
117118          ,"Instrument Tray w/Outside Handles 20-1/4X13X3-1/2"
117120          ,"LIFTING HDL SET/2"
117130          ,"COVERED INSTRUMENT TRAY, 5X15-1/2X3 STAINLESS"
117132          ,"COVERED INSTRUMENT TRAY, 6X24X3-1/2 STAINLESS"
117136          ,"COVERED INSTRUMENT TRAY, 8X25-1/4X3-1/2 STAINLESS"
117138          ,"COVERED INSTRUMENT TRAY, 10X6-1/2X2-1/2 STAINLESS"
117140          ,"COVERED INSTRUMENT TRAY, 10-1/2X10X3-1/2 STAINLESS"
117142          ,"COVERED INSTRUMENT TRAY, 10-1/2X15X3-1/2 STAINLESS"
117144          ,"COVERED INSTRUMENT TRAY, 10-1/2X20X3-1/2 STAINLESS"
117148          ,"COVERED INSTRUMENT TRAY, 13X20-1/4X3-1/2 STAINLESS"
117170          ,"MAYO TRAY, PERFORATED, 21-1/4X16-1/4X3/4 STAINLESS"
117180          ,"INSTRUMENT PAN WITH HANDLES 9 X 5 X 2"
117182          ,"Instrument Tray Pan 10 X 6-1/2 X 2"
117184          ,"INSTRUMENT TRAY WITH HANDLES 10 X 6-1/2 X 2-1/2"
117188          ,"SAFETY HDL ONLY"
117240          ,"WEINSTEIN INST HLDR 6X2-3/4"
117242          ,"WEINSTEIN INST HLDR 8X2-3/4"
117244          ,"WEINSTEIN INST HLDR 10X2-3/4"
117246          ,"WEINSTEIN INST HLDR 12X2-3/4"
117247          ,"WEINSTEIN INST HLDR 14x2-3/4"
117248          ,"WEINSTEIN INST HLDR 16x2-3/4"
117249          ,"WEINSTEIN INST HLDR 18x2-3/4"
117250          ,"POSILOCK INSTRUMENT HOLDER 6 X 2-3/4"
117252          ,"POSILOCK INSTRUMENT HOLDER 8 X 2-3/4"
117254          ,"POSILOCK INSTRUMENT HOLDER 10 X 2-3/4"
117256          ,"POSILOCK INSTRUMENT HOLDER 12 X 2-3/4"
117258          ,"POSILOCK INSTRUMENT HOLDER 14 X 2-3/4"
117260          ,"POSILOCK INST HLDR 16 X 2-3/4"
117262          ,"POSILOCK INST HLDR 18 X 2-3/4"
117270          ,"INST STRINGER U-SHAPED 8 X 2-3/4"
117272          ,"INST STRINGER U-SHAPED 10 X 2-3/4"
117274          ,"INST STRINGER U-SHAPED 12 X 2-3/4"
117276          ,"INST STRINGER U-SHAPED 14 X 2-3/4"
117278          ,"INST STRINGER U-SHAPED 16 X 2-3/4"
117280          ,"INST STRINGER U-SHAPED 18 X 2-3/4"
117330          ,"INST RACK W/4 PINS"
117340          ,"TRAY PINS BOX/10"
117360A         ,"IODINE CUP 6 OZ."
117391A         ,"EMESIS BASIN 12 OZ."
118116          ,"BUNT FCPS HLDR"
118118          ,"WEISENBACH FCPS HLDR 6-1/4"
118119          ,"WEISENBACH FCPS HLDR 12-1/4"
120090          ,"CONVERSE NEEDLE HOLDER 4-3/8, LARGE FINGER RING"
120095          ,"BROWN NEEDLE HOLDER 5 1/4"
120097          ,"NEIVERT NEEDLE HOLDER, 4-7/8,THUMB RING TURNED  UP"
120100          ,"DERF NEEDLE HOLDER 4-3/4"
120105          ,"BAUMGARTNER NEEDLE HOLDER 5 1/4 SOLID JAWS"
120110          ,"BAUMGARTNER NEEDLE HOLDER 5 1/4 GROOVED JAWS"
120112          ,"HEGAR-BAUMGARTNER NEEDLE HOLDER 5-3/4 SOLID JAWS"
120115          ,"COLLIER NEEDLE HOLDER 5-1/8, GROOVED JAWS"
120118          ,"WEBSTER NEEDLE HOLDER 4-1/2, 15MM SMOOTH JAW"
120120          ,"HALSEY NEEDLE HOLDER 5-3/8 SMOOTH JAWS"
120125          ,"NEW ORLEANS NEEDLE HOLDER 7"
120130          ,"CRILE-WOOD NEEDLE HOLDER 6"
120131          ,"CRILE-WOOD NEEDLE HOLDER 7-1/4"
120132          ,"CRILE-WOOD NEEDLE HOLDER 8"
120135          ,"MAYO-HEGAR NEEDLE HOLDER, 6-1/4, GROOVED JAW"
120140          ,"MAYO-HEGAR NEEDLE HOLDER 7-1/4"
120145          ,"MAYO-HEGAR NEEDLE HOLDER 8"
120147          ,"MAYO-HEGAR NEEDLE HOLDER 12"
120148          ,"OLSEN-HEGAR NEEDLE HOLDER 4-3/4,PETIT-POINT,SERR"
120149          ,"OLSEN-HEGAR NEEDLE HOLDER 4-3/4,PETIT-POINT,SMOOTH"
120150          ,"OLSEN-HEGAR NEEDLE HOLDER 5-3/8 GROOVED JAW"
120155          ,"OLSEN-HEGAR NEEDLE HOLDER 6-3/4 GROOVED JAW"
120180          ,"MASSON NEEDLE HOLDER 10-3/4"
120200          ,"SAROT NEEDLE HOLDER 7-1/4 DELICATE"
120210          ,"HEANEY NEEDLE HOLDER 8"
120215          ,"BAYONET NEEDLE HOLDER 6-1/2, BAYONET, FINE JAW"
121097          ,"NEIVERT NEEDLE HOLDER, 5, CARB-BITE"
121100          ,"DERF NEEDLE HOLDER, 4-3/4, CARB-BITE"
121105          ,"BAUMGARTNER NEEDLE HOLDER, 5-1/4, CARB-BITE"
121106          ,"HEGAR-BAUMGARTNER NEEDLE HOLDER, 5-7/8, CARB-BITE"
121115          ,"PLASTIC/RECONSTRUCTIVE NH,4-5/8,CARB-BITE,SERR,DEL"
121116          ,"PLASTIC/RECON NH,4-5/8,CARB-BITE,SMOOTH JAWS,DEL"
121118          ,"WEBSTER NEEDLE HOLDER 4-5/8 CARB-BITE, SMOOTH JAWS"
121119          ,"WEBSTER NEEDLE HOLDER 4-5/8 CARB-BITE, SERRATED"
121120          ,"HALSEY NEEDLE HOLDER 5-1/4, CARB-BITE, SMOOTH JAWS"
121121          ,"HALSEY NEEDLE HOLDER 5-1/4, CARB-BITE, SERRATED"
121125          ,"NEW ORLEANS NEEDLE HOLDER, 7, CARB-BITE"
121126          ,"CRILE-WOOD NEEDLE HOLDER, 7-1/4, CARB-BITE, CURVED"
121127          ,"CRILE-WOOD NEEDLE HOLDER, 9, CARB-BITE, CURVED"
121128          ,"CRILE-WOOD NEEDLE HOLDER, 14, CARB-BITE"
121129          ,"CRILE-WOOD NEEDLE HOLDER, 12-1/4, CARB-BITE"
121130          ,"CRILE-WOOD NEEDLE HOLDER, 6, CARB-BITE"
121131          ,"CRILE-WOOD NEEDLE HOLDER, 7, CARB-BITE"
121132          ,"CRILE-WOOD NEEDLE HOLDER, 8, CARB-BITE"
121133          ,"CRILE-WOOD NEEDLE HOLDER, 9, CARB-BITE"
121134          ,"CRILE-WOOD NEEDLE HOLDER 10-1/4, CARB-BITE"
121135          ,"MAYO-HEGAR NEEDLE HOLDER 6-1/4, CARB-BITE"
121140          ,"MAYO-HEGAR NEEDLE HOLDER, 7-1/4, CARB-BITE"
121142          ,"MAYO-HEGAR NEEDLE HOLDER 10-1/2, CARB-BITE"
121143          ,"MAYO-HEGAR NEEDLE HOLDER, 11, CARB-BITE"
121144          ,"MAYO-HEGAR NEEDLE HOLDER, 13-3/4, CARB-BITE"
121145          ,"MAYO-HEGAR NEEDLE HOLDER, 8, CARB-BITE"
121146          ,"MAYO-HEGAR NEEDLE HOLDER, 9-1/2, CARB-BITE"
121147          ,"MAYO-HEGAR NEEDLE HOLDER, 11-3/4, CARB-BITE"
121148          ,"Olsen-Hegar NH w/Scs, 4-3/4, Carb-Bite, Serrated"
121149          ,"Olsen-Hegar NH w/Scs, 4-3/4, Carb-Bite, Smooth"
121150          ,"OLSEN-HEGAR NEEDLE HOLDER 5-3/4, CARB-BITE"
121155          ,"OLSEN-HEGAR NEEDLE HOLDER, 6-1/4,CARB-BITE"
121160          ,"RYDER NEEDLE HOLDER, 5, CARB-BITE"
121161          ,"RYDER NEEDLE HOLDER, 5-7/8, CARB-BITE"
121162          ,"RYDER NEEDLE HOLDER, 7-1/4, CARB-BITE"
121163          ,"RYDER NEEDLE HOLDER, 8, CARB-BITE, SERRATED JAWS"
121164          ,"RYDER NEEDLE HOLDER, 9, CARB-BITE"
121165          ,"RYDER NEEDLE HOLDER, 10-1/4, CARB-BITE"
121166          ,"HUFNAGEL-RYDER NEEDLE HOLDER, 8-3/4, CARB-BITE"
121170          ,"RYDER NEEDLE HLDR,4-7/8,CARB-BITE,PETIT-POINT,SERR"
121171          ,"RYDER NH, 4-7/8, CARB-BITE, PETIT-POINT, SMOOTH"
121172          ,"RYDER NEEDLE HLDR,6-1/4,CARB-BITE,PETIT-POINT,SERR"
121173          ,"RYDER NH, 6-1/4, CARB-BITE, PETIT-POINT, SMOOTH"
121174          ,"RYDER NEEDLE HOLDER, 7, CARB-BITE,PETIT-POINT,SERR"
121175          ,"RYDER NEEDLE HOLDER,7,CARB-BITE,PETIT-POINT,SMOOTH"
121176          ,"RYDER NEEDLE HLDR,7-3/4,CARB-BITE,PETIT-POINT,SERR"
121177          ,"RYDER NEEDLE HOLDER, 9, CARB-BITE,PETIT-POINT,SERR"
121178          ,"RYDER NH 9, CARB-BITE, PETIT-POINT, 1MM, SMOOTH"
121179          ,"RYDER NH 8, CARB-BITE, PETIT-POINT, 1MM, SMOOTH"
121180          ,"MASSON NEEDLE HOLDER, 10-1/2, CARB-BITE"
121181          ,"Diethrich Microvascular Needle Holder, 7,Carb-Bite"
121182          ,"Diethrich Microvascular Needle Holder, 7-3/4"
121183          ,"Diethrich Microvascular Needle Holder, 9,Carb-Bite"
121184          ,"DEBAKEY NEEDLE HOLDER, 6, CARB-BITE, EXTRA LIGHT"
121185          ,"DEBAKEY NEEDLE HOLDER, 7, CARB-BITE, EXTRA LIGHT"
121186          ,"DEBAKEY NEEDLE HOLDER, 8, CARB-BITE, EXTRA LIGHT"
121187          ,"DEBAKEY NEEDLE HOLDER, 9, CARB-BITE, EXTRA LIGHT"
121188          ,"DEBAKEY NEEDLE HOLDER,10-1/2,CARB-BITE,EXTRA LIGHT"
121189          ,"DEBAKEY NEEDLE HOLDER,12-1/4,CARB-BITE,EXTRA LIGHT"
121192          ,"FINOCHIETTO NEEDLE HOLDER, 10-1/2, CARB-BITE"
121193          ,"DEBAKEY NEEDLE HOLDER, 9, CARB-BITE,  CURVED"
121195          ,"STRATTE NEEDLE HOLDER 8-3/4, CARB-BITE"
121197          ,"SAROT NEEDLE HOLDER, 5-7/8, CARB-BITE, PETIT-POINT"
121198          ,"SAROT NEEDLE HOLDER, 6-3/4, CARB-BITE, PETIT-POINT"
121200          ,"SAROT NEEDLE HOLDER, 7, CARB-BITE"
121204          ,"HEANEY NEEDLE HOLDER, 12, CARB-BITE, CURVED"
121205          ,"SAROT NEEDLE HOLDER, 10, CARB-BITE"
121206          ,"JULIAN NEEDLE HOLDER, 8-1/4, CARB-BITE, STRAIGHT"
121207          ,"JULIAN NEEDLE  HOLDER, 8-1/4, CARB-BITE, CURVED"
121209          ,"HEANEY NEEDLE HOLDER, 10-1/2, CARB-BITE, CURVED"
121210          ,"HEANEY NEEDLE HOLDER, 8, CARB-BITE, CURVED"
121211          ,"MICROVASCULAR NEEDLE HOLDER, 5-7/8,CARB-BITE,LIGHT"
121212          ,"MICROVASCULAR NEEDLE HOLDER, 7-1/4,CARB-BITE,LIGHT"
121213          ,"MICROVASCULAR NH 8, CARB-BITE, SLENDER JAWS"
121214          ,"MICROVASCULAR NEEDLE HOLDER, 9, CARB-BITE, LIGHT"
