code        ,Description                                                                                                                                                                                                                                        ,Alternative
GE634R      ,"MŨI CẮT THẦN KINH HI-LINE XS III, ĐƯỜNG KÍNH 2,3MM"                                                                                                                                                                                               ,99-999-99-99
FB817R      ,No Description Available                                                                                                                                                                                                                           ,24-180-03-07
EK073R      ,TROCAR PIN TRIANGULAR 12/150MM                                                                                                                                                                                                                     ,99-999-99-99
BC026R      ,"Kéo phẫu tích Ragnell, mảnh, thẳng, đầu dẹt, mũi dẹt tù, cán lớn, dài 135mm"                                                                                                                                                                      ,99-999-99-99
OM309R      ,"Dụng cụ nạo róc Koenig, cong nhẹ, đầu nhọn, dài 155mm, đầu rộng 5mm"                                                                                                                                                                              ,23-406-16-07
DX509R      ,"Ống hút Minop Trend, dài 4000mm, đường kính 4mm, hộp 10 ống, sử dụng cùng FH601R, FH615"                                                                                                                                                          ,99-999-99-99
OM235R      ,"Cây đè lưỡi Tobold, cán rỗng, dài 160mm"                                                                                                                                                                                                          ,38-281-14-07
BC522R      ,No Description Available                                                                                                                                                                                                                           ,11-380-25-07
DF022R      ,"Dụng cụ trám răng Westcott, hai đầu, gập góc, tay cầm sáu cạnh, dài 170mm"                                                                                                                                                                        ,44-382-02-07
IC-V012     ,"Cuộn nhãn nhận biết, chiều cao 35mm"                                                                                                                                                                                                              ,99-999-99-99
BT106R      ,"Banh vết thương và khí quản, loại nhỏ, 1 răng, tù, dài 180mm"                                                                                                                                                                                     ,27-127-16-07
HH225R      ,"KẸP LÔNG MI, DÀI 85MM"                                                                                                                                                                                                                            ,12-666-09-07
FK906B      ,"Dụng cụ gặm cột sống Kerrison Noir, mảnh, kiểu chuẩn, cong lên trên 130°, không có bộ phận đẩy mô, tháo rời được, dài 180mm, ngàm rộng 1mm, ngàm mở 8mm, sử dụng cùng JF120R"                                                                     ,24-979-01-14
GE680R      ,"MŨI DOA LÒNG TỦY, ĐƯỜNG KÍNH 15MM, LẮP VỚI THÂN GE666R"                                                                                                                                                                                           ,99-999-99-99
DB838R      ,"Dụng cụ đục Kramer-Nevins, lưỡi vát 1 bên, dùng phẫu tích mô mềm và mô cứng, loại nhỏ, M CKN 1/1, hai đầu, thẳng/gập góc, dài 165mm"                                                                                                              ,99-999-99-99
FL146R      ,"Đục xương Mannerfelt (Modif.), lưỡi vát 2 bên, dài 155mm, lưỡi rộng 6mm"                                                                                                                                                                          ,23-162-06-07
OP325R      ,"Dụng cụ sinh thiết trong phẫu thuật thanh quản, gập góc 90 °, dài 250mm, đường kính 4mm"                                                                                                                                                          ,99-999-99-99
BM905R      ,"Đầu dò dẫn đường Schmieden, dài 185mm, đầu rộng 8mm"                                                                                                                                                                                              ,20-871-19-07
OG973R      ,"Ống hút vi phẫu, chóp kiểu Luer, đường kính 0,70mm, dùng cho ống hút đường kính 6-8mm, hộp 2 chiếc"                                                                                                                                               ,18-641-20-07
FM527R      ,"Kẹp mang kim vi phẫu Diadust, thẳng, ngàm phủ bụi kim cương, cán tròn, không có khóa cài, cán kiểu nhíp, màu vàng, dài 210mm, dùng cho chỉ tới 7/0"                                                                                               ,20-012-21-07
BW090R      ,"Lưỡi banh Frankfurt, dài 140mm, kích thước 30 x 20mm"                                                                                                                                                                                             ,99-999-99-99
FC474R      ,No Description Available                                                                                                                                                                                                                           ,24-599-13-04
OF044       ,"BANH TAI ROSEN, 4X5.5MM"                                                                                                                                                                                                                          ,09-009-57-07
FB245R      ,"Dụng cụ lắp kẹp, cỡ trung bình/lớn, gập góc 65°, cán màu xanh lá, dài 280mm, sử dụng cùng PL568T"                                                                                                                                                 ,99-999-99-99
GE401SU     ,"MŨI MÀI PHÁ ROSEN HILINE XS I, ĐƯỜNG KÍNH 1MM"                                                                                                                                                                                                    ,99-999-99-99
GE702R      ,"LÖÔÕI CAÉT DUØNG TRONG PT T.KINH, DOØNG HI-LINE XS, CÔÕ XL-I, ÑK 3,1MM"                                                                                                                                                                           ,99-999-99-99
FA062R      ,"Dụng cụ nạo tuyến yên Hardy, dáng lưỡi lê, cán tròn, mũi gập sang phải 45 °, mũi hơi nhọn, đường kính 4mm, dài 280mm, chiều dài hoạt động 130mm"                                                                                                  ,99-999-99-99
FB487R      ,"Kẹp phẫu tích và gắp chỉ De Bakey-Rumel Atraumata, cong, ngàm có răng De Bakey, dài 245mm, ngàm dài 81mm"                                                                                                                                         ,99-999-99-99
OL427R      ,"Dụng cụ mài xương Durogrip TC, Số 7, Số 8, thẳng, hai đầu có răng (36/44), dài 205mm, đầu rộng 7mm"                                                                                                                                               ,37-682-04-07
OK036R      ,"BANH MŨI TIECK-HALLE, DÙNG CHO TRẺ EM, CỠ LỚN, DÀI 135"                                                                                                                                                                                           ,93-999-99-99
GC267R      ,"LƯỠI CƯA DÙNG CHO GB392R, KÍCH THƯỚC 7/11/0.4/0.6MM, CHUÔI DÀI 95MM, HỘP 5 CHIẾC"                                                                                                                                                                 ,99-999-99-99
DB377R      ,"Dụng cụ thăm khám và cạo cao răng MC Call Anatomic Colours, số M17S/18S, hai đầu, gập góc, tay cầm tiện lợi chất liệu Peek, màu đen, dài 165mm"                                                                                                   ,43-784-18-07
FM135R      ,"Kéo vi phẫu Sensation, lưỡi cong lên, tay cầm hình lưỡi lê, cán nhựa tròn, màu xanh da trời, mũi nhọn/tù, dài 245mm, chiều dài sử dụng 120mm"                                                                                                     ,99-999-99-99
FF010R      ,"KẸP SỌ DEMARTEL, HƠI CONG, 135MM"                                                                                                                                                                                                                 ,13-290-14-07
FB156R      ,"Ống tưới rửa Schmid, dễ uốn, có khóa Luer, dài 150mm, đường kính 6mm"                                                                                                                                                                             ,18-695-06-07
EM147R      ,"Que nong cổ tử cung Hegar, đầu hình chóp rất nhọn, dài 185mm, đường kính 17,5mm"                                                                                                                                                                  ,32-401-17-01
FC860R      ,"Đầu ngàm kẹp phẩu thuật gắp mô phổi FOERSTER, ngàm oval gấp góc 15° dài 63 mm, mở 2 bên, đường kính 7mm, chiều dài 250 mm"                                                                                                                        ,99-999-99-99
BT709R      ,"Khung treo banh Rochard, khung đơn, rộng 530mm"                                                                                                                                                                                                   ,99-999-99-99
BH109R      ,"Kẹp phẫu tích Micro-Hastled, cong, mảnh, dài 125mm"                                                                                                                                                                                               ,13-321-12-07
JN441       ,"Đáy hộp đựng và bảo quản dụng cụ phẫu thuật, có lỗ thoát khí, loại chuẩn, cỡ 1/1, kích thước ngoài 592 x 274 x 120mm, kích thước trong 544 x 258x 105mm"                                                                                          ,55-235-02-04
EL088R      ,"Banh âm đạo Cusco, kích thước 115 x 37 mm"                                                                                                                                                                                                        ,32-116-03-01
FB542R      ,"Kẹp Bulldog không chấn thương De Bakey Atraumata, cong, hình chữ S, ngàm có răng De Bakey, cán vòng, dài 125mm, ngàm dài 53mm"                                                                                                                    ,24-459-12-07
GE507R      ,"MŨI MÀI PHÁ ROSEN HI-LINE XS II, ĐƯỜNG KÍNH 4MM"                                                                                                                                                                                                  ,99-999-99-99
FB581R      ,"Kẹp mạch máu không chấn thương Castaneda Atraumata, gập góc 30°, ngàm có răng De Bakey, dài 120mm, ngàm rộng 33mm"                                                                                                                                ,24-593-01-07
PO111R      ,"Kẹp phẫu tích nội soi đơn cực Nelson Adtec, thẳng, ngàm có khía mịn, hoạt động đôi, dài 310mm, đường kính ngàm 5mm, bao gồm PM973R, PO617R, PO959R.Cấu tạo gồm 4 phần, tay cầm và vỏ được làm từ chất liệu PEEK."                                 ,99-999-99-99
LX178R      ,"Kím rút chỉ thép, dài 180mm"                                                                                                                                                                                                                      ,99-999-99-99
BC011R      ,"Kéo phẫu tích Stevens, mảnh, cong, mũi tù/tù, cán lớn, dài 115mm"                                                                                                                                                                                 ,11-683-11-07
BH201R      ,"Kẹp mạch máu Adson, mảnh, cong, đầu tù, dài 185mm"                                                                                                                                                                                                ,13-365-18-07
FK384R      ,"Dụng cụ róc xương Semb, loại ngắn, gập góc, đầu nhọn, dài 230mm, đầu rộng 13mm"                                                                                                                                                                   ,23-450-04-07
GK604R      ,"Kẹp cầm máu lưỡng cực, thẳng, đầu không dính, dài 160mm, ngàm rộng 1,10mm"                                                                                                                                                                        ,99-999-99-99
BH100R      ,"Kẹp mạch máu Carrel, mảnh, thẳng, đầu tù, khớp vít, dài 85mm"                                                                                                                                                                                     ,99-999-99-99
OL366R      ,No Description Available                                                                                                                                                                                                                           ,48-270-07-07
FE001S      ,"Kẹp mạch vành không chấn thương, thẳng, ngàm có khía chéo mịn, ngàm dài 10mm, lực đóng 0,30N"                                                                                                                                                     ,99-999-99-99
GE649SU     ,"MŨI MÀI HÌNH TRỤ TRÒN HI-LINE XS III, ĐƯỜNG KÍNH 5MM"                                                                                                                                                                                             ,99-999-99-99
BC762R      ,"Kéo sản khoa Sims-Siebold, thẳng, mũi tù/tù, dài 250mm"                                                                                                                                                                                           ,11-232-24-07
FB117R      ,"Dụng cụ cạo nội mạc động mạch, không có cán, dài 550mm, đường kính 14mm"                                                                                                                                                                          ,16-251-14-01
GK768R      ,"Kẹp lưỡng cực Yasargil, thẳng, hình lưỡi lê, dài 195mm, chiều dài sử dụng 75mm, ngàm rộng 0,40mm"                                                                                                                                                 ,99-999-99-99
BV530R      ,"Bộ banh bụng Collin hoàn chỉnh, bao gồm BV520R, BV551R"                                                                                                                                                                                           ,15-822-22-07
GK749R      ,"Kẹp lưỡng cực Yasargil, thẳng, hình lưỡi lê, dài 140mm, chiều dài sử dụng 20mm, ngàm rộng 1,30mm"                                                                                                                                                 ,99-999-99-99
PO207R      ,"Kẹp phẫu tích nội soi đơn cực Adtec, ngàm trơn, đầu tù, hoạt động đôi, dài 420mm, đường kính ngàm 5mm, bao gồm PM981R, PO760R, PO958R.Cấu tạo gồm 4 phần, tay cầm và vỏ được làm từ chất liệu PEEK."                                              ,99-999-99-99
GD732R      ,"MŨI MÀI PHÁ ROSEN HI - LINE I, ĐƯỜNG KÍNH 1MM"                                                                                                                                                                                                    ,99-999-99-99
MA182R      ,Data Not Available                                                                                                                                                                                                                                 ,36-589-01-07
OL654R      ,Data Not Available                                                                                                                                                                                                                                 ,28-240-04-07
OG105R      ,"Dao phẫu tích tai, thẳng, lưỡi tròn, dài 160mm, kích thước lưỡi 2,4 x 3 mm"                                                                                                                                                                       ,36-020-21-07
OF250C      ,"Ống thông vòi Eustache Harmann, đường kính 2mm"                                                                                                                                                                                                   ,36-321-01-01
MF283R      ,"Dụng cụ nạo, số 00, dáng lưỡi lê, mũi nhọn, thẳng về sau, dài 240mm, chiều dài hoạt động 105mm"                                                                                                                                                   ,23-997-61-07
BB077R      ,"Cán dao mổ, số 7, dài 160mm"                                                                                                                                                                                                                      ,10-137-07-07
BD671SU     ,"KẸP MÔ SUSU WAUGH, 1X2 RĂNG, 200MM"                                                                                                                                                                                                               ,99-999-99-99
EM113R      ,"Que nong cổ tử cung Hegar, đầu hình chóp rất nhọn, dài 185mm, đường kính 13mm"                                                                                                                                                                    ,32-400-13-01
PO738R      ,"Ruột kéo phẫu tích nội soi đơn cực Metzenbaum (Mini) Adtec TC, cong sang trái, mũi tù/tù, ngàm có khía mịn, hoạt động đôi, dài 220mm, đường kính ngàm 5mm"                                                                                        ,99-999-99-99
KY207NR     ,"Dụng cụ dẫn chỉ thép, loại nhỏ, dạng cong, dài 230 mm"                                                                                                                                                                                            ,99-999-99-99
BT545P      ,"Banh tổ chức sợi carbon Carbotrac, dài 255mm, kích thước hai lưỡi 140 x 40mm"                                                                                                                                                                     ,99-999-99-99
FF729R      ,"Dụng cụ gặm cột sống Kerrison, kiểu chuẩn, cong lên trên 130°, không có bộ phận đẩy mô, không tháo rời được, dài 200mm, ngàm rộng 6mm, ngàm mở 12mm, sử dụng cùng JF120R"                                                                         ,24-978-43-07
GD703R      ,"MŨI KHOAN HÌNH TRỤ HI-LINE XL-I, ĐƯỜNG KÍNH 5MM"                                                                                                                                                                                                  ,99-999-99-99
FH320R      ,"Cưa Charriere, dài 270mm, lưỡi dài 184mm"                                                                                                                                                                                                         ,09-004-41-07
BH141R      ,"Kẹp mạch máu Crile (Baby), mảnh, cong, đầu tù, dài 140mm"                                                                                                                                                                                         ,13-325-14-07
MB656R      ,"ĐỤC LAMBOTTE, CONG, RỘNG 38MM, DÀI 230MM"                                                                                                                                                                                                         ,23-139-38-07
FL830NR     ,"Đục xương lòng máng có tay cầm, ngang 4 mm, dài 300 mm"                                                                                                                                                                                           ,99-999-99-99
BM211R      ,"Kẹp mang kim Kilner, thẳng, cán hình lưỡi lê, dài 135mm"                                                                                                                                                                                          ,99-999-99-99
ER602R      ,"Dụng cụ nạo tử cung và buồng trứng Wallich, dài 420mm"                                                                                                                                                                                            ,99-999-99-99
FK919B      ,No Description Available                                                                                                                                                                                                                           ,24-978-13-14
EJ702R      ,"Vỏ trocar sử dụng nhiều lần, chất liệu thép không gỉ, trơn, màu đỏ, có van, đường kính 5.5mm, dài 60mm, sử dụng cùng EJ700R; EJ710R"                                                                                                              ,99-999-99-99
GB978SU     ,"MŨI MÀI TRÒN DÙNG MỘT LẦN, ĐƯỜNG KÍNH 4.5MM"                                                                                                                                                                                                      ,99-999-99-99
GD053R      ,"MŨI MÀI PHÁ ROSEN ĐƯỜNG KÍNH 5.0MM, KÍCH THƯỚC CHUÔI 2.35MM"                                                                                                                                                                                      ,99-999-99-99
AC474R      ,"Gương soi thanh quản, số 4, dài 120mm, đường kính 18mm"                                                                                                                                                                                           ,39-785-18-01
DO803R      ,"Dụng cụ cắt dây chằng, gập góc trái, dài 170mm"                                                                                                                                                                                                   ,99-999-99-99
PL565T      ,"Clip kẹp mạch máu 2 thì titanium, loại nhỏ, màu vàng, kích thước 4mm x 3,1mm, hộp 30 vỉ, mỗi vỉ 6 cái, cơ chế đóng đầu clip trước"                                                                                                                ,99-999-99-99
EK112SU     ,"Vỏ trocar nhựa, xoắn, có van xả khí, đường kính 5mm, dài 60mm"                                                                                                                                                                                    ,99-999-99-99
EK216SU     ,"Bộ trocar nhựa hoàn chỉnh, vỏ xoắn, có van xả khí, nòng không dao tách cơ nhưng không cắt cơ, đường kính 5mm, dài 110mm, màu đỏ, hộp 6 cái"                                                                                                       ,99-999-99-99
BV963R      ,"Lưỡi banh bên Muenster, kích thước 75 x 25mm"                                                                                                                                                                                                     ,99-999-99-99
DS103R      ,"DAO CẮT CHẤT DẺO, CÓ KÈM BANH MIỆNG, DÀI 180MM"                                                                                                                                                                                                   ,46-482-17-07
BT353R      ,"Banh tổ chức Sauerbruch, cán đặc, dài 225mm, kích thước ngàm 72 x 19mm"                                                                                                                                                                           ,15-561-03-07
OF006N      ,Data Not Available                                                                                                                                                                                                                                 ,36-200-15-04
FH973B      ,DỤNG CỤ GẶM ĐĨA ĐỆM                                                                                                                                                                                                                                ,99-999-99-99
BM327R      ,"Kẹp mang kim vi phẫu Ryder Diadust, thẳng, ngàm phủ bụi kim cương, rất mảnh, dùng cho chỉ tới 5/0, dài 220mm"                                                                                                                                     ,09-005-94-07
BN003R      ,"Que thăm, thẳng, dài 130mm"                                                                                                                                                                                                                       ,16-160-13-01
EL425R      ,"Banh âm đạo Kristeller, bộ gồm lưỡi banh trên và dưới, dài 220mm, kích thước 110 x 27 mm"                                                                                                                                                         ,32-205-01-01
FK983R      ,"Dụng cụ gặm cột sống Kerrison, kiểu chuẩn, cong lên 130°, có bộ phận đẩy mô, tháo rời được, dài 200mm, ngàm rộng 4mm, ngàm mở 15mm, sử dụng cùng JF120R"                                                                                          ,99-999-99-99
RT066R      ,"Tay cầm cho hệ thống banh Neuropilot, lõi Peek, đường kính 0,30mm"                                                                                                                                                                                ,99-999-99-99
FM471R      ,"Kéo vi phẫu, gập góc 45°, lưỡi mảnh, mũi nhọn/nhọn, cán dẹt, dài 165mm"                                                                                                                                                                           ,99-999-99-99
DL225R      ,"Dụng cụ bẩy chân răng hàm dưới Seldin, mũi cong trái"                                                                                                                                                                                             ,42-004-05-07
GN082       ,"Dây cáp kết nối lưỡng cực Bipojet, dài 5m, dùng để nối máy Erbe, Storz"                                                                                                                                                                           ,99-999-99-99
EB174R      ,"Thìa nạo sỏi mật Luer-Koerte, số 4, dễ uốn, dài 325mm, chiều rộng ngàm 11mm"                                                                                                                                                                      ,31-340-07-07
BJ574R      ,"Kẹp tử cung Wertheim, cong sang trái, ngàm có khía, dài 255mm"                                                                                                                                                                                    ,13-697-25-07
DB281R      ,"Mũi dụng cụ thăm khám và cạo cao răng, USM, dài 35mm"                                                                                                                                                                                             ,99-999-99-99
FO191R      ,"Kẹp giữ xương Lowman, dài 205mm"                                                                                                                                                                                                                  ,99-999-99-99
ND105NR     ,"Đục xương có tay cầm, cong, ngang 20 mm, dài 300 mm"                                                                                                                                                                                              ,99-999-99-99
DE422R      ,"Dụng cụ trám răng Heidemann, hai đầu, gập góc, tay cầm sáu cạnh, đặc biệt linh hoạt, dài 170mm, đường kính hai đầu 3,0mm; 3,0mm"                                                                                                                  ,44-398-04-07
MA407R      ,Data Not Available                                                                                                                                                                                                                                 ,35-224-99-18
GD813R      ,"MŨI KHOAN PHÁ ROSEN HI-LINE XL-II, ĐƯỜNG KÍNH 6MM"                                                                                                                                                                                                ,99-999-99-99
BN750R      ,"Dụng cụ tháo/lắp kẹp Michel, thẳng, khớp hộp, không có khóa cài, dài 125mm"                                                                                                                                                                       ,20-928-12-07
FM003R      ,"Kẹp vi phẫu Mueller, thẳng, cán tròn, nhẹ, màu đen, dài 110mm, ngàm rộng 0,30mm"                                                                                                                                                                  ,12-552-03-07
BM900R      ,"Đầu dò dẫn đường, dài 200mm, đầu rộng 3mm"                                                                                                                                                                                                        ,20-875-03-07
EK014R      ,"Vỏ Trocar công nghệ lai (hybrid), đường kính 5mm, dài 110mm, trơn, có van CO2, chất liệu hợp kim nhẹ, phần đầu trocar chất liệu PEEK"                                                                                                             ,99-999-99-99
OL367R      ,No Description Available                                                                                                                                                                                                                           ,48-271-07-07
FM042R      ,"Kéo vi phẫu, thẳng, mũi nhọn/nhọn, cán tròn, cán lõm, dài 180mm"                                                                                                                                                                                  ,11-710-18-07
BD911R      ,"Nhíp vi phẫu Troeltsch, thẳng, gập khuỷu, ngàm có khía, dài 170mm"                                                                                                                                                                                ,37-105-18-07
GC604R      ,"LƯỠI CƯA CHUÔI HÌNH SAO, KÍCH THƯỚC 25/5/0,5/0,5MM"                                                                                                                                                                                               ,99-999-99-99
EL632R      ,"Banh âm đạo Doyen, dài 240mm, kích thước 90 x 35mm"                                                                                                                                                                                               ,32-249-02-01
MF071R      ,Data Not Available                                                                                                                                                                                                                                 ,15-761-06-07
FD338R      ,"Dụng cụ vi phẫu, gập góc, cán tròn, mũi nhọn, dài 230mm, rộng 3,20mm"                                                                                                                                                                             ,24-862-11-07
BV999R      ,"Banh xương đùi De Bakey, cho người lớn, gập góc, 1 x 1 răng, nhọn, dài 145mm"                                                                                                                                                                     ,15-802-18-07
BV400R      ,"Bộ banh tự giữ Scoville-Haverfield, dùng trong phẫu thuật cột sống, bao gồm BV401R, BV403R, BV405R"                                                                                                                                               ,15-906-50-07
MB449R      ,Data Not Available                                                                                                                                                                                                                                 ,23-539-15-07
DB182T      ,Data Not Available                                                                                                                                                                                                                                 ,43-294-06-09
DF121       ,"Bàn trộn bằng kính, kích thước 130 x 80 mm"                                                                                                                                                                                                       ,99-999-99-99
FF834R      ,"Dụng cụ gặm đĩa đệm Caspar, thẳng, dài 155mm, ngàm rộng 4mm"                                                                                                                                                                                      ,24-981-07-07
OM668R      ,"Dụng cụ phẫu tích Amidan Henke, hai đầu, dài 235mm, rộng 12mm"                                                                                                                                                                                    ,39-289-23-07
AA806R      ,"Thước đo bằng thép không gỉ, dài 500mm, chia độ đến mm và inches"                                                                                                                                                                                 ,17-412-50-07
DG025R      ,"Kìm nhổ răng cửa và răng nanh hàm trên Anatomica, số 3"                                                                                                                                                                                           ,99-999-99-99
BT006R      ,"Banh vết thương Senn-Miller (Baby), đầu nhọn/tù, 1 đầu có 3 răng nhọn, dài 155mm, kích thước 2 đầu 8 x 7mm, 22 x 7mm"                                                                                                                             ,15-166-16-07
BH120R      ,"Kẹp mạch máu Halsted (Mosquito), mảnh, thẳng, ngàm có răng (1x2), dài 125mm"                                                                                                                                                                      ,13-312-12-07
FB394R      ,"Kẹp không chấn thương De Bakey Atraumata, thẳng, ngàm có răng De Bakey, dài 150mm, ngàm rộng 1mm"                                                                                                                                                 ,24-386-16-07
MB213R      ,"Kẹp mang kim vi phẫu Jacobson Durogrip TC, thẳng, cán tròn, có khóa cài, dài 200mm"                                                                                                                                                               ,99-999-99-99
BC113R      ,"Kéo phẫu tích, cong, mũi nhọn/tù, dài 110mm"                                                                                                                                                                                                      ,11-587-12-07
BT264R      ,"Banh tổ chức Kocher, 4 răng hơi nhọn, dài 220mm, kích thước ngàm 16 x 20mm"                                                                                                                                                                       ,15-242-04-07
FF665R      ,"Dụng cụ gặm xương Kerrison, kiểu mảnh, cong lên trên 130°, không có bộ phận đẩy mô, không tháo rời được, dài 200mm, ngàm rộng 5mm, ngàm mở 12mm, sử dụng cùng JF120R"                                                                             ,24-979-35-07
GK315R      ,Data Not Available                                                                                                                                                                                                                                 ,80-461-15-04
FF468R      ,"Dụng cụ gặm cột sống Kerrison, cong lên, dài 200mm, ngàm rộng 4mm"                                                                                                                                                                                ,24-980-39-07
EK589SU     ,"Bộ trocar Hasson có bóng khí dùng 1 lần, với vòng giữ hình nón chất liệu silicon, đường kính 12mm,van dùng chung cho dụng cụ từ 5-12mm, dài 100mm, hộp 5 cái"                                                                                     ,99-999-99-99
DA863R      ,Data Not Available                                                                                                                                                                                                                                 ,43-402-11-07
GD799R      ,"MŨI MÀI MỊN DIAMOND HI-LINE II, ĐƯỜNG KÍNH 4,5MM"                                                                                                                                                                                                 ,99-999-99-99
GK384R      ,"Điện cực móc đốt, chất liệu ceramic cách điện, đơn cực, dạng L, đường kính 5mm."                                                                                                                                                                  ,99-999-99-99
BD664R      ,"Nhíp mô Gerald, mảnh, thẳng, ngàm có răng (1x2), dài 230mm"                                                                                                                                                                                       ,12-386-17-07
DE125R      ,"Dụng cụ trám răng, hai đầu, gập góc 3 lần, tay cầm sáu cạnh, dài 170mm, đường kính hai đầu 0,8mm; 1,0mm"                                                                                                                                          ,44-379-11-07
GD031R      ,"MŨI MÀI MỊN DIAMOND ĐƯỜNG KÍNH 4 MM, KÍCH THƯỚC CHUÔI 2.35X70MM"                                                                                                                                                                                  ,99-999-99-99
GB252R      ,BỘ KHAY VÀ GIÁ GÀI ECCOS ĐỰNG MÁY KHOAN CƯA XƯƠNG VÀ PHỤ KIỆN HILAN XS                                                                                                                                                                             ,99-999-99-99
GE712SU     ,"MŨI MÀI HÌNH TRỤ TRÒN HI-LINE XS XL-I, ĐƯỜNG KÍNH 6MM"                                                                                                                                                                                            ,99-999-99-99
OK164R      ,"BANH MŨI THUDICHUM, CỠ 4, KÍCH CỠ 15,5X8,5MM, DÀI 73MM"                                                                                                                                                                                           ,99-999-99-99
PO014R      ,"Kéo phẫu thuật nội soi đơn cực mạch máu đơn cực potts-Demartell, đường kính 10mm, dài 310mm. Cấu tạo gồm 4 phần, tay cầm và vỏ được làm từ chất liệu PEEK."                                                                                       ,99-999-99-99
FB468R      ,"Kẹp ngoại vi không chấn thương Leland-Jones Atraumata, gập góc 15°, ngàm có răng De Bakey, dài 190mm, ngàm dài 77mm"                                                                                                                              ,24-413-20-07
BC927R      ,"Kéo phẫu thuật Mayo Supercut, cong, lưỡi vát, gợn sóng, mũi tù/tù, dài 145mm"                                                                                                                                                                     ,11-653-14-07
FF212R      ,"Vén não, hai đầu, dẹt, dễ uốn, dài 180mm, chiều rộng 2 đầu 11mm, 13mm"                                                                                                                                                                            ,38-385-19-01
PO888       ,"Thân kéo phẫu tích nội soi đơn cực sử dụng một lần Adtec Metzenbaum, cong sang trái, ngàm hoạt động đôi, cách điện, đường kính 5mm, dài 310mm, hộp 10 chiếc"                                                                                      ,99-999-99-99
DE672R      ,"Dụng cụ trám răng Hollenback, số 2, hai đầu, gập góc, tay cầm sáu cạnh, dài 175mm, đường kính đầu 2,1mm; 2,9mm"                                                                                                                                   ,44-380-38-07
BD164R      ,"Nhíp phẫu tích không chấn thương Durogrip TC, thẳng, cán vàng, dài 145mm"                                                                                                                                                                         ,12-258-15-07
FF119R      ,Data Not Available                                                                                                                                                                                                                                 ,24-979-34-07
OG970R      ,"Bộ ống hút, bao gồm OG969R, OG970R, OG971R, OG972R, OG973R, OG974R, có lỗ ngắt áp lực"                                                                                                                                                            ,99-999-99-99
